iter	Passed	Remaining
441	1248	1576
442	1249	1570
443	1249	1565
444	1250	1559
445	1251	1554
446	1269	1570
447	1270	1565
448	1270	1559
449	1271	1554
450	1272	1548
451	1274	1544
452	1276	1540
453	1281	1540
454	1282	1536
455	1283	1530
456	1284	1526
457	1285	1521
458	1286	1516
459	1287	1511
460	1288	1506
461	1288	1500
462	1289	1495
463	1290	1490
464	1290	1485
465	1291	1480
466	1292	1475
467	1293	1470
468	1295	1466
469	1296	1461
470	1297	1457
471	1298	1452
472	1299	1447
473	1300	1442
474	1300	1437
475	1306	1437
476	1307	1433
477	1308	1428
478	1308	1423
479	1309	1418
480	1310	1413
481	1310	1408
482	1315	1407
483	1316	1403
484	1317	1399
485	1318	1394
486	1319	1390
487	1320	1385
488	1321	1380
489	1322	1376
490	1324	1373
491	1326	1369
492	1328	1366
493	1333	1365
494	1334	1361
495	1334	1356
496	1335	1351
497	1339	1350
498	1340	1345
499	1340	1340
500	1347	1341
501	1348	1338
502	1349	1333
503	1360	1338
504	1361	1334
505	1362	1329
506	1363	1325
507	1366	1323
508	1366	1318
509	1370	1316
510	1371	1312
511	1372	1308
512	1377	1307
513	1378	1303
514	1379	1298
515	1379	1294
516	1380	1289
517	1391	1294
518	1393	1291
519	1393	1286
520	1396	1284
521	1397	1280
522	1398	1275
523	1399	1271
524	1400	1266
525	1400	1262
526	1401	1257
527	1415	1265
528	1418	1262
529	1419	1258
530	1419	1253
531	1420	1249
532	1421	1245
533	1432	1249
534	1432	1245
535	1433	1241
536	1434	1236
537	1434	1232
538	1436	1228
539	1437	1224
540	1438	1220
541	1439	1215
542	1440	1212
543	1442	1208
544	1455	1215
545	1456	1211
546	1463	1211
547	1464	1207
548	1464	1203
549	1466	1199
550	1470	1198
551	1471	1194
552	1472	1189
553	1473	1186
554	1476	1183
555	1477	1179
556	1477	1175
557	1479	1171
558	1480	1168
559	1483	1165
560	1485	1162
561	1486	1158
562	1487	1154
563	1491	1153
564	1492	1149
565	1494	1145
566	1495	1142
567	1497	1138
568	1499	1136
569	1500	1132
570	1501	1127
571	1502	1123
572	1502	1119
573	1503	1116
574	1504	1112
575	1505	1108
576	1508	1105
577	1509	1101
578	1509	1097
579	1511	1094
580	1512	1090
581	1513	1086
582	1516	1084
583	1517	1080
584	1519	1078
585	1520	1074
586	1522	1071
587	1523	1067
588	1527	1065
589	1528	1062
590	1541	1067
591	1542	1063
592	1544	1059
593	1545	1056
594	1547	1053
595	1549	1050
596	1550	1046
597	1551	1042
598	1552	1039
599	1553	1035
600	1554	1031
601	1554	1028
602	1555	1024
603	1556	1020
604	1557	1016
605	1559	1013
606	1560	1010
607	1561	1006
608	1562	1003
609	1563	999
610	1567	997
611	1567	994
612	1568	990
613	1569	986
614	1570	983
615	1571	979
616	1572	975
617	1574	973
618	1576	970
619	1577	966
620	1578	963
621	1586	964
622	1587	960
623	1588	957
624	1590	954
625	1591	950
626	1592	947
627	1596	945
628	1597	942
629	1599	939
630	1601	936
631	1601	932
632	1602	929
633	1603	925
634	1605	922
635	1606	919
636	1607	916
637	1608	912
638	1609	909
639	1609	905
640	1610	902
641	1612	899
642	1620	899
643	1622	896
644	1622	893
645	1623	889
646	1624	886
647	1625	882
648	1626	879
649	1629	877
650	1630	873
651	1633	871
652	1634	868
653	1640	868
654	1642	865
655	1643	861
656	1651	862
657	1652	858
658	1654	856
659	1655	852
660	1673	858
661	1678	856
662	1680	853
663	1681	850
664	1682	847
665	1683	844
666	1690	843
667	1691	840
668	1692	837
669	1692	833
670	1693	830
671	1695	827
672	1696	824
673	1697	821
674	1698	817
675	1699	814
676	1700	811
677	1710	812
678	1711	809
679	1714	806
680	1718	804
681	1721	802
682	1724	800
683	1727	797
684	1733	797
685	1744	798
686	1745	795
687	1753	795
688	1754	791
689	1767	794
690	1769	791
691	1771	788
692	1773	785
693	1774	782
694	1774	778
695	1775	775
696	1776	772
697	1776	768
698	1790	770
699	1791	767
700	1794	765
701	1794	761
702	1796	758
703	1797	755
704	1798	752
705	1799	749
706	1800	746
707	1802	743
708	1803	740
709	1804	737
710	1805	733
711	1806	730
712	1806	727
713	1808	724
714	1809	721
715	1810	718
716	1812	715
717	1812	712
718	1813	708
719	1814	705
720	1816	702
721	1822	701
722	1824	699
723	1825	696
724	1829	694
725	1831	691
726	1846	693
727	1847	690
728	1848	687
729	1854	685
730	1855	682
731	1856	679
732	1857	676
733	1858	673
734	1861	671
735	1861	667
736	1863	665
737	1865	662
738	1866	659
739	1870	657
740	1878	656
741	1880	653
742	1882	651
743	1886	649
744	1888	646
745	1890	643
746	1892	640
747	1899	639
748	1900	636
749	1901	633
750	1903	630
751	1905	628
752	1910	626
753	1910	623
754	1912	620
755	1917	618
756	1918	615
757	1919	612
758	1920	609
759	1921	606
760	1923	604
761	1926	601
762	1927	598
763	1928	595
764	1930	592
765	1931	589
766	1931	586
767	1932	583
768	1934	581
769	1935	578
770	1935	574
771	1936	571
772	1937	568
773	1937	565
774	1938	562
775	1939	559
776	1940	556
777	1941	553
778	1942	551
779	1944	548
780	1946	545
781	1946	542
782	1947	539
783	1948	536
784	1950	534
785	1951	531
786	1953	528
787	1955	526
788	1956	523
789	1957	520
790	1960	517
791	1965	516
792	1966	513
793	1969	510
794	1972	508
795	1977	506
796	1979	504
797	1981	501
798	1981	498
799	1982	495
800	1983	492
801	1990	491
802	1991	488
803	1992	485
804	1992	482
805	1993	479
806	1994	477
807	1995	474
808	2002	472
809	2003	469
810	2004	467
811	2004	464
812	2005	461
813	2005	458
814	2006	455
815	2010	453
816	2011	450
817	2011	447
818	2014	445
819	2021	443
820	2022	440
821	2022	438
822	2023	435
823	2024	432
824	2026	429
825	2042	430
826	2044	427
827	2047	425
828	2051	423
829	2052	420
830	2054	417
831	2056	415
832	2056	412
833	2060	410
834	2061	407
835	2062	404
836	2064	401
837	2065	399
838	2066	396
839	2067	393
840	2068	391
841	2069	388
842	2073	386
843	2074	383
844	2075	380
845	2076	377
846	2077	375
847	2078	372
848	2079	369
849	2080	367
850	2081	364
851	2082	361
852	2083	359
853	2084	356
854	2085	353
855	2086	350
856	2091	348
857	2092	346
858	2093	343
859	2094	340
860	2094	338
861	2095	335
862	2096	332
863	2097	330
864	2098	327
